;Species;tax.id;Genus;Family;Order;Class;Phylum;Kingdom;Domain;DemersPelag
1;Abantennarius coccineus;2919613;Abantennarius;Antennariidae;Lophiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
2;Abudefduf septemfasciatus;229092;Abudefduf;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
3;Abudefduf sexfasciatus;80948;Abudefduf;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
4;Abudefduf sordidus;192870;Abudefduf;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
5;Abudefduf vaigiensis;192871;Abudefduf;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
6;Acanthurus achilles;753643;Acanthurus;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
7;Acanthurus guttatus;75013;Acanthurus;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
8;Acanthurus leucopareius;1828454;Acanthurus;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
9;Acanthurus lineatus;483362;Acanthurus;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
10;Acanthurus nigricans;175431;Acanthurus;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
11;Acanthurus nigricauda;753644;Acanthurus;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
12;Acanthurus nigrofuscus;12913;Acanthurus;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
13;Acanthurus nigros;2745939;Acanthurus;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
14;Acanthurus olivaceus;238053;Acanthurus;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
15;Acanthurus pyroferus;175433;Acanthurus;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
16;Acanthurus reversus;1567455;Acanthurus;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
17;Acanthurus thompsoni;175434;Acanthurus;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
18;Acanthurus triostegus;175435;Acanthurus;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
19;Acanthurus xanthopterus;75014;Acanthurus;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
20;Albula glossodonta;121402;Albula;Albulidae;Albuliformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
21;Alticus simplicirrus;1892326;Alticus;Blenniidae;Blenniiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
22;Aluterus scriptus;303710;Aluterus;Monacanthidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
23;Amanses scopas;245707;Amanses;Monacanthidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
24;Amblycirrhitus bimacula;529471;Amblycirrhitus;Cirrhitidae;Centrarchiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
25;Amblyeleotris marquesas;2589286;Amblyeleotris;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
26;Amblygobius phalaena;166732;Amblygobius;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
27;Amphiprion chrysopterus;229071;Amphiprion;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
28;Anampses caeruleopunctatus;241263;Anampses;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
29;Anampses melanurus;1119051;Anampses;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
30;Anampses meleagrides;347726;Anampses;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
31;Anampses twistii;317474;Anampses;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
32;Antennatus tuberosus;882772;Antennatus;Antennariidae;Lophiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
33;Aphareus furca;396779;Aphareus;Lutjanidae;Lutjaniformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
34;Apogon lativittatus;1567464;Apogon;Apogonidae;Kurtiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
35;Apogon marquesensis;2589346;Apogon;Apogonidae;Kurtiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
36;Apogonichthys ocellatus;1147079;Apogonichthys;Apogonidae;Kurtiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
37;Aprion virescens;396781;Aprion;Lutjanidae;Lutjaniformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
38;Arothron hispidus;300221;Arothron;Tetraodontidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
39;Arothron meleagris;342437;Arothron;Tetraodontidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
40;Aspidontus taeniatus;587044;Aspidontus;Blenniidae;Blenniiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
41;Asterropteryx semipunctata;151713;Asterropteryx;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
42;Aulostomus chinensis;150448;Aulostomus;Aulostomidae;Syngnathiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
43;Balistapus undulatus;392899;Balistapus;Balistidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
44;Balistoides viridescens;303705;Balistoides;Balistidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
45;Blenniella gibbifrons;1146954;Blenniella;Blenniidae;Blenniiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
46;Bodianus axillaris;242809;Bodianus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
47;Boops boops;36219;Boops;Sparidae;Spariformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
48;Bothus mancus;1156090;Bothus;Bothidae;Pleuronectiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
49;Bothus pantherinus;366905;Bothus;Bothidae;Pleuronectiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
50;Brotula multibarbata;417945;Brotula;Ophidiidae;Ophidiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
51;Callechelys catostoma;1156454;Callechelys;Ophichthidae;Anguilliformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
52;Callionymus marquesensis;2589345;Callionymus;Callionymidae;Syngnathiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
53;Callionymus simplicicornis;1156457;Callionymus;Callionymidae;Syngnathiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
54;Callogobius sclateri;166739;Callogobius;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
55;Calotomus carolinus;188112;Calotomus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
56;Cantherhines dumerilii;303712;Cantherhines;Monacanthidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
