species;corrected_family
Acanthurus nigros;Acanthuridae
Amphiprion chrysopterus;Pomacentridae
Calotomus carolinus;Labridae
Cantherhines pardalis;Monacanthidae
Caracanthus unipinna;Caracanthidae
Centropyge fisheri;Pomacanthidae
Centropyge loriculus;Pomacanthidae
Cetoscarus ocellatus;Labridae
Chlorurus frontalis;Labridae
Chlorurus microrhinos;Labridae
Chlorurus spilurus;Labridae
Dascyllus flavicaudus;Pomacentridae
Ferdauia ferdau;Carangidae
Fusigobius duospilus;Gobiidae
Fusigobius neophytus;Gobiidae
Gymnothorax formosus;Muraenidae
Hipposcarus longiceps;Labridae
Leptoscarus vaigiensis;Labridae
Lethrinus olivaceus;Lethrinidae
Nemateleotris magnifica;Gobiidae
Ostorhinchus novemfasciatus;Apogonidae
Platax orbicularis;Ephippidae
Platybelone argalus;Belonidae
Plectroglyphidodon fasciolatus;Pomacentridae
Scarus altipinnis;Labridae
Scarus chameleon;Labridae
Scarus festivus;Labridae
Scarus forsteni;Labridae
Scarus frenatus;Labridae
Scarus ghobban;Labridae
Scarus globiceps;Labridae
Scarus koputea;Labridae
Scarus longipinnis;Labridae
Scarus niger;Labridae
Scarus oviceps;Labridae
Scarus psittacus;Labridae
Scarus rivulatus;Labridae
Scarus rubroviolaceus;Labridae
Scarus schlegeli;Labridae
Sufflamen fraenatum;Balistidae
Zebrasoma velifer;Acanthuridae
