Sample ID;Sample;Collector Name;Sampling Site;Latitude;Longitude;Latitude Start;Longitude Start;Latitude End;Longitude End;Distance to Reef (Nautic Miles);Replica;Instrument;Sampling date;Sampling Time;Depth (m);Filtration Volume (L);Filtration Duration (min);Filter Porosity (µm);Extraction date;Qubit Concentration (ng/µL);Initial Volume (µL);Final Volume (µL);DNA Volume for 2 ng/µL (µL);H2O Volume (µL) 2;DNA 2 ng/µL Qubit Concentration (ng/µL);PCR date;Primer;Barcod;Purification date;Amplicon Volume (µL) ;AmpureXP Volume (µL);Amplicon Concentration (ng/µL);Sequencing date;Run name;Quantity (ng);Volume for Pool (µL)
T-;;;Lab Control ;;;;;;;Control;;;;;;;;;;0;;;;;;18/06/2024;MiFish-U;12;19/06/2024;50;90;3,18;;;0;0
Fish + Shark;;;Lab Control ;;;;;;;Control;;;;;;;;;;1,5;;;;;;18/06/2024;MiFish-U;1;19/06/2024;50;90;35,2;20/06/2024;Run_1;50;1,42
FZ__1;;Coline/Clément;Lagoon Control;-17.4880815;-149.9002226;-17.4880815;-149.9002226;-17.4880815;-149.9002226;Control;1;Robot;18/06/2024;9h54;1;20;15;1.2µm;18/06/2024;18,3;;50;5,46;44,54;2,05;18/06/2024;MiFish-U;2;19/06/2024;150;270;59;20/06/2024;Run_1;100;1,69
FZ__2;;Coline/Clément;Lagoon Control;-17.4880815;-149.9002226;-17.4880815;-149.9002226;-17.4880815;-149.9002226;Control;2;Robot;18/06/2024;10h11;1;20;17;1.2µm;18/06/2024;23;;50;4,35;45,65;1,9;18/06/2024;MiFish-U;3;19/06/2024;150;270;30,8;20/06/2024;Run_1;100;3,25
FZ__3;;Coline/Clément;Lagoon Control;-17.4880815;-149.9002226;-17.4880815;-149.9002226;-17.4880815;-149.9002226;Control;3;Robot;18/06/2024;10h35;1;20;15;1.2µm;18/06/2024;36,8;;50;2,72;47,28;1,9;18/06/2024;MiFish-U;4;19/06/2024;150;270;32,6;20/06/2024;Run_1;100;3,07
Ma_0NM_1;OS_00000017;Julie/Lucie/Yannick;Maatea;-17.605556;-149.832222;-17.605556;-149.832222;-17.605556;-149.832222;0;1;Robot;19/06/2023;15h15;5;20;7;1.2µm;20/06/2023;4,36;100;50;22,94;27,06;1,86;18/06/2024;MiFish-U;5;19/06/2024;150;270;22;20/06/2024;Run_1;100;4,55
Ma_0NM_2;OS_00000018;Julie/Lucie/Yannick;Maatea;-17.605556;-149.832222;-17.605556;-149.832222;-17.605556;-149.832222;0;2;Robot;19/06/2023;15h30;5;20;7;1.2µm;20/06/2023;2,74;100;50;36,5;13,5;2,16;18/06/2024;MiFish-U;6;19/06/2024;150;270;9,54;20/06/2024;Run_1;100;10,48
Ma_0NM_3;OS_00000019;Julie/Lucie/Yannick;Maatea;-17.605556;-149.832222;-17.605556;-149.832222;-17.605556;-149.832222;0;3;Robot;19/06/2023;15h45;5;20;7;1.2µm;20/06/2023;1,81;100;50;50;0;1,76;18/06/2024;MiFish-U;7;19/06/2024;150;270;13,9;20/06/2024;Run_1;100;7,19
Ma_5NM_1;OS_00000005;Julie/Lucie/Yannick;Maatea;-17.6664157;-149.8901085;-17.65;-149.88387;-17.66338;-149.8889;5;1;Robot;14/06/2023;10h14;5;20;;1.2µm;19/06/2023;5,98;100;50;16,72;33,28;1,78;18/06/2024;MiFish-U;8;19/06/2024;150;270;3,98;20/06/2024;Run_1;100;25,13
Ma_5NM_2;OS_00000006;Julie/Lucie/Yannick;Maatea;-17.6664157;-149.8901085;-17.66338;-149.8889;-17.66657;-149.89249;5;2;Robot;14/06/2023;10h35;5;20;;1.2µm;19/06/2023;5,74;100;50;17,42;32,58;1,8;18/06/2024;MiFish-U;9;19/06/2024;150;270;5,28;20/06/2024;Run_1;100;18,94
